Incident ID,Incident Date,State,City Or County,Address,Business/Location Name,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested
2694555,30-Aug-23,Alabama,Harvest,2680 Jeff Rd NW,Sparkman 9th Grade School,0,0,0,0,1
2695190,30-Aug-23,Arkansas,Fort Smith,2301 N B St,Northside High School,0,0,0,0,1
2694853,29-Aug-23,Alaska,Anchorage,4025 E Northern Lights Blvd,Bettye Davis East Anchorage High School,0,0,0,0,0
2694792,29-Aug-23,Georgia,Atlanta,211 Memorial Dr SE,Wesley International Academy,0,0,0,0,0
2693383,28-Aug-23,Arizona,Phoenix,2620 E Liberty Ln,Kyrene de la Estrella Elementary School,0,0,0,0,0
2692873,28-Aug-23,North Carolina,Chapel Hill,131 South Rd,UNC / Caudill Labs,1,0,0,0,1
2692924,28-Aug-23,North Carolina,Greensboro,409 Friendway Rd,Western Guilford High School,0,0,0,0,1
2693380,28-Aug-23,Louisiana,Slidell,300 Spartan Dr,Salmen High School,0,0,0,0,1
2691403,25-Aug-23,Alabama,Flomaton,21200 US-31,Flomaton High School,0,0,0,0,1
2690672,25-Aug-23,Maryland,Hyattsville (Adelphi),8820 Riggs Rd,Sonia Sotomayor Middle School,0,0,0,0,0
2691405,25-Aug-23,Florida,Lake City,469 SW Fighting Tiger Dr,Columbia High School,0,0,0,0,2
2690422,25-Aug-23,Illinois,Cicero,5425 W 31st St,Columbus West Elementary School,0,0,0,0,1
2691101,25-Aug-23,North Carolina,Greensboro,1403 John W Mitchell Dr,NC A and T Student Center,0,1,0,0,0
2691013,25-Aug-23,California,Los Angeles,300 E 53rd St,Dr Maya Angelou Community High School,0,1,0,0,0
2691037,25-Aug-23,Alabama,Bessemer (Hueytown),4881 15th St Rd,Hueytown High School,0,0,0,0,1
2691167,25-Aug-23,Arizona,Goodyear,14802 W Wigwam Blvd,Millennium High School,0,0,0,0,1
2691086,25-Aug-23,Pennsylvania,Abington,900 Highland Ave,Abington High School,0,0,0,0,1
2691667,25-Aug-23,Oklahoma,Tulsa,1514 E Zion St,Booker T Washington High School,0,0,0,0,0
2690901,25-Aug-23,Oklahoma,Choctaw,14300 NE 10th St,Bill Jensen Field / Choctaw High School,1,2,0,0,0
2693394,25-Aug-23,Ohio,Toledo,701 E Central Ave,Woodward High School,0,0,0,0,2
2691060,25-Aug-23,South Carolina,Georgetown,2500 Anthuan Maybank Dr,Georgetown High School,0,0,0,0,1
2691614,25-Aug-23,Georgia,Columbus,400 4th St,A J Mc Clung Memorial Stadium,0,0,0,0,3
2690363,24-Aug-23,Indiana,Evansville,635 Lincoln Ave,Lincoln Elementary School,0,0,0,0,1
2690682,24-Aug-23,Arizona,Mesa,10045 E Madero Ave,Desert Ridge High School,0,0,0,0,1
2691265,24-Aug-23,Louisiana,Ville Platte,210 W Cotton St,Ville Platte High School,0,0,0,0,0
2689644,24-Aug-23,Georgia,Marietta,1171 Whitlock Ave NW,Marietta High School,0,0,0,0,1
2688643,23-Aug-23,Tennessee,Clarksville,251 E Pine Mountain Rd,Kenwood High School,0,0,0,0,1
2689510,23-Aug-23,Texas,Lubbock,3211 47th St,Monterey High School,0,0,0,0,0
2688223,22-Aug-23,Texas,Seguin,215 Short Ave,Jefferson Elementary School,0,0,0,0,0
2687858,22-Aug-23,Tennessee,Crossville,1219 Cook Rd,Stone Elementary School,0,0,0,0,2
2688269,22-Aug-23,North Carolina,Winston Salem (Winston-salem),1600 Brewer Rd,Parkland High School,0,0,0,0,1
2688410,22-Aug-23,Alabama,Huntsville,4900 Meridian St,Ernest L. Knight Complex,0,0,0,2,2
2693023,22-Aug-23,Idaho,Castleford,500 Main St,Castleford High School,0,0,0,0,1
2688931,22-Aug-23,Indiana,Indianapolis,2255 Ralston Ave,KIPP Indy Legacy High School,0,0,0,0,1
2688208,22-Aug-23,Ohio,Hamden,38234 OH-93,South Elementary,0,0,0,0,1
2689995,21-Aug-23,Illinois,Palatine,1111 N Rohlwing Rd,Palatine High School,0,0,0,0,1
2687211,21-Aug-23,Florida,Bradenton,1200 37th Ave E,Southeast High School,0,0,0,0,1
2688011,21-Aug-23,Florida,Coconut Creek,1400 NW 44th Ave,Coconut Creek High School,0,0,0,0,1
2686804,21-Aug-23,Louisiana,Rayville,193 LA-3048,Rayville High School,0,0,0,0,0
2686718,21-Aug-23,South Carolina,Goose Creek,98 Westview Blvd,Westview Primary School,0,0,0,0,2
2687564,21-Aug-23,Arkansas,Fayetteville,994 MLK Jr Blvd,Fayetteville High School,0,0,0,0,0
2691160,19-Aug-23,South Carolina,Orangeburg,300 College Ave,South Carolina State University,0,0,0,0,1
2691152,19-Aug-23,South Carolina,Orangeburg,300 College Ave,South Carolina State University,0,0,0,0,1
2691157,19-Aug-23,South Carolina,Orangeburg,300 College Ave,South Carolina State University,0,0,0,0,1
2691148,19-Aug-23,South Carolina,Orangeburg,Geathers St,South Carolina State University,0,0,0,0,1
2687314,18-Aug-23,Indiana,Indianapolis,1500 E Michigan St,Arsenal Technical High School,0,0,0,0,1
2684781,18-Aug-23,Ohio,Canal Winchester,300 Washington St,Canal Winchester High School,0,0,0,0,3
2685423,18-Aug-23,Tennessee,Nashville,1800 Stratford Ave,Stratford High School,0,0,0,0,1
2685344,18-Aug-23,Georgia,Jonesboro,1055 Battle Creek Rd,Tara Stadium,0,1,0,0,0
2691234,18-Aug-23,California,Simi Valley,1402 Royal Ave,Royal High School,0,0,0,0,1
2684343,18-Aug-23,South Carolina,Cheraw,1010 W Greene St,Long Middle School,0,0,0,0,1
2685465,18-Aug-23,Florida,Jacksonville,590 Duval Station Rd,First Coast High School,0,0,0,1,0
2684319,18-Aug-23,Georgia,Columbus,38 Clearview Cir,LeNoir Hall Annex,1,0,1,0,0
2686726,18-Aug-23,South Carolina,Summerville,850 S Magnolia St,John McKissick Field at Memorial Stadium,0,0,0,0,1
2685802,18-Aug-23,California,Rancho Cucamonga,13500 Victoria St,Etiwanda High School,0,1,0,0,0
2684001,17-Aug-23,Texas,Midland,906 W Illinois Ave,Midland High School,0,0,0,0,1
2683400,17-Aug-23,Indiana,Indianapolis,1500 E Michigan St,Arsenal Tech High School,0,0,0,0,1
2683377,17-Aug-23,Indiana,Frankfort,1 S Maish Rd,Frankfort High School,0,0,0,0,1
2691162,17-Aug-23,South Carolina,Roebuck,1050 Cavalier Way,Dorman High School,0,0,0,0,0
2683959,16-Aug-23,Texas,Humble,13300 Will Clayton Pkwy,Atascocita High School,0,0,0,0,2
2682761,16-Aug-23,Texas,Rosharon,801 Caldwell Ranch Blvd,Crawford High School,0,0,0,0,1
2683979,16-Aug-23,Texas,Sugar Land,550 Dulles Ave,Dulles High School,0,0,0,0,1
2682566,16-Aug-23,Georgia,Augusta,1701 15th St,T. W. Josey High School,0,1,0,0,1
2686744,16-Aug-23,Arkansas,Fort Smith,2301 N B St,Northside High School,0,0,0,0,1
2681942,15-Aug-23,Pennsylvania,Philadelphia,700 block of S 42nd St,Saint Joseph's University,0,1,0,0,0
2682023,15-Aug-23,Texas,San Antonio,1200 block of Enrique Barrera Pkwy,N/A,0,0,0,0,0
2683386,15-Aug-23,Indiana,Indianapolis,9500 E 16th St,Warren Central High School,0,0,0,0,1
2684205,15-Aug-23,Illinois,Paris,437 W Washington St,Carolyn Wenz Elementary School,0,0,0,0,3
2680971,14-Aug-23,Tennessee,Nashville,110 Gallatin Ave,East High School,0,0,0,0,1
2681239,11-Aug-23,North Carolina,Greensboro,1200 Lincoln St,James B. Dudley High School,0,0,0,0,2
2678199,10-Aug-23,Tennessee,Cordova,1800 Berryhill Rd,Cordova High School,0,0,0,0,4
2677668,10-Aug-23,Indiana,Indianapolis,1801 E 86th St,North Central High School,0,0,0,0,1
2677159,10-Aug-23,Arizona,Phoenix,3921 W Baseline Rd,Cesar Chavez High School,0,0,0,0,1
2676410,9-Aug-23,Indiana,Whiteland (New Whiteland),900 Sawmill Rd,Break-O-Day Elementary School,0,0,0,0,1
2676437,9-Aug-23,Indiana,Lawrenceburg,100 Tiger Blvd,Lawrenceburg High School,0,0,0,0,1
2674943,8-Aug-23,Texas,Mesquite,3300 E Cartwright Rd,John Horn High School,0,0,0,0,1
2681107,7-Aug-23,Texas,Mesquite,3300 E Cartwright Rd,Horn High School,0,0,0,0,1
2674588,5-Aug-23,Illinois,Evanston,2424 Lake St,Dr. Martin Luther King Jr. Literary and Fine Arts School,0,0,0,0,0
2673722,4-Aug-23,Tennessee,Memphis,415 State St,University of Memphis,0,0,0,0,0
2674128,4-Aug-23,Maryland,Upper Marlboro,505 Largo Rd,Largo High School,0,0,0,0,1
2672629,3-Aug-23,California,Oakley,1050 Neroly Rd,Freedom High School,0,0,0,0,1
2670782,2-Aug-23,Georgia,Covington,11649 Bypass Rd,Middle Ridge Elementary School,0,0,0,0,0
2670404,31-Jul-23,Indiana,Indianapolis,1500 E Michigan St,Arsenal Technical High School,0,0,0,0,1
2668383,31-Jul-23,Tennessee,Memphis,390 S White Station Rd,Margolin Hebrew Academy,0,0,0,1,0
2667666,27-Jul-23,New York,Mount Vernon,100 California Rd,Mount Vernon High School,0,0,0,0,1
2663163,25-Jul-23,Tennessee,Memphis,778 Parkrose Rd,Freedom Preparatory Academy,0,1,0,0,0
2660496,22-Jul-23,Georgia,Athens,S Jackson St and Fulton St,University of Georgia - Athens,0,1,0,0,2
2658560,19-Jul-23,Nebraska,Lincoln,Salt Creek Roadway and N 14th St,University of Nebraska-Lincoln,0,0,0,0,0
2656757,13-Jul-23,Wisconsin,Milwaukee,8400 W Burleigh St,Milwaukee School of Languages,0,0,0,0,1
2651532,13-Jul-23,District of Columbia,Washington,600 block of Bryant St NW,Howard University Campus,1,0,0,0,1
2653242,11-Jul-23,Virginia,Gloucester,6099 T C Walker Rd,Thomas Calhoun Walker Education Center,0,0,0,0,4
2648691,10-Jul-23,Maryland,Capitol Heights,200 Cabin Branch Rd,Central High School,0,0,0,0,1
2643757,5-Jul-23,District of Columbia,Washington,620 Michigan Ave NE,Catholic University of America,1,0,0,0,1
2645787,2-Jul-23,New York,Albany,391 Western Ave,LaSalle School,0,0,0,0,1
2635020,23-Jun-23,New Mexico,Albuquerque,721 Tomasita St NE,Kennedy Middle School,0,1,0,0,0
2627627,16-Jun-23,Massachusetts,Boston,55 Malcolm X Blvd,John D. O'Bryant School of Mathematics and Science,0,0,0,0,1
2627865,15-Jun-23,Louisiana,Shreveport,5939 Old Mooringsport Rd,Northwood High School,0,0,0,0,1
2625692,13-Jun-23,Massachusetts,Quincy,875 Hancock St,Central Middle School,0,0,0,0,0
2625367,12-Jun-23,New York,Freeport,50 S Brookside Ave,Freeport High School,0,0,0,0,1
2621053,9-Jun-23,District of Columbia,Washington,3264 Stanton Rd SE,Turner Elementary School,0,1,0,0,0
2620907,9-Jun-23,Maryland,Bowie (Mitchellville),2112 Church Rd,Non-Traditional Program 9-12 North,0,0,0,0,1
2620379,8-Jun-23,Pennsylvania,Uniontown,146 E Fayette St,Uniontown Area High School,0,0,0,0,0
2619530,7-Jun-23,Texas,San Antonio,7618 E Evans Rd,Veterans Memorial High School,0,0,0,0,2
2619238,7-Jun-23,Wisconsin,Milwaukee,N 15th St and W Meinecke Ave,N/A,0,0,0,0,0
2618525,6-Jun-23,Pennsylvania,Philadelphia,4300 Tacony St,First Philadelphia Preparatory Charter School,0,0,0,0,1
2618358,6-Jun-23,Virginia,Richmond,6 N Laurel St,Virginia Commonwealth University - Altria Theater,2,5,0,0,1
2617497,5-Jun-23,Utah,Salt Lake City,2166 S 1700 E,Highland High School,0,0,0,0,2
2617124,5-Jun-23,Michigan,Warren,31300 Ryan Rd,Michigan Collegiate High School,0,0,0,0,1
2618343,2-Jun-23,Wisconsin,Madison,702 Pflaum Rd,La Follette High School,0,0,0,0,1
2616067,2-Jun-23,California,San Mateo,506 N Delaware St,San Mateo High School,0,0,0,0,2
2614659,2-Jun-23,New York,Staten Island,101 Belmont Pl,Ralph R. McKee Career and Technical Education High School,0,0,0,0,1
2639325,1-Jun-23,Michigan,Bridgeport,4691 Bear Cat Blvd,Bridgeport High School,0,0,0,0,1
2614603,31-May-23,California,Menifee,28100 Calm Horizon Dr,Ethan Chase Middle School,0,0,0,0,1
2613532,31-May-23,Virginia,Richmond,6901 Messer Rd,John Rolfe Middle School,0,0,0,0,1
2617161,31-May-23,Michigan,Harper Woods,20225 Beaconsfield St,Harper Woods High School,0,0,0,0,1
2613950,31-May-23,Indiana,Columbia City,1692 IN-9,Indian Springs Middle School,0,0,0,0,0
2608980,26-May-23,Texas,San Antonio,14800 Judson Rd,Wood Middle School,0,0,0,0,1
2609942,26-May-23,California,Moreno Valley,17750 Lasselle St,Rancho Verde High School,0,0,0,0,1
2608891,26-May-23,Texas,Houston,16713 Ella Blvd,Westfield High School,0,0,0,0,2
2608570,25-May-23,Indiana,Indianapolis,3010 N White River Pkwy E Dr,Herron-Riverside High School,0,0,0,0,1
2608159,25-May-23,Arizona,Tucson,1346 N Stone Ave,Pima Partnership Academy,0,0,0,0,1
2608256,25-May-23,Hawaii,Kapolei,91-5335 Kapolei Pkwy,Kapolei Middle School,0,0,0,0,1
2609086,24-May-23,Texas,Dallas,100 S Glasgow Dr,Woodrow Wilson High School,0,0,0,0,1
2606670,24-May-23,North Carolina,Greenville,600 W Arlington Blvd,J. H. Rose High School,0,1,0,0,3
2607974,24-May-23,Utah,American Fork,20 W 1120 N,American Fork Junior High School,0,0,0,0,1
2606987,24-May-23,California,Santa Maria,675 Panther Dr,Pioneer Valley High School,0,0,0,0,1
2606723,24-May-23,Pennsylvania,Pittsburgh,2323 Brighton Rd,Oliver Citywide Academy,1,0,0,0,1
2606261,23-May-23,Kentucky,Louisville,6300 Terry Rd,Conway Middle School,0,0,0,0,1
2608839,23-May-23,Texas,Houston,15150 Wallisville Rd,James B Harvard Elementary School,0,0,0,0,1
2605505,22-May-23,Ohio,Columbus,1500 E Broad St,East High School,0,0,0,0,2
2608988,22-May-23,Missouri,Kansas City,3100 NE 46th St,Golden Oaks Elementary School,0,0,0,0,0
2606091,22-May-23,Michigan,Ypsilanti,Concord Dr and Bedford Dr,N/A,0,0,0,0,0
2605863,22-May-23,Utah,Salt Lake City (Kearns),5525 Cougar Ln,Kearns High School,0,0,0,0,0
2606557,22-May-23,California,San Diego,3950 Byrd St,Myrtle S Finney Elementary School,0,0,0,0,0
2605406,22-May-23,Massachusetts,Danvers,72 Spring St,St. John's Preparatory School,0,0,0,0,0
2605147,19-May-23,Louisiana,Garyville,240 LA-54,Garyville/Mt. Airy Math and Science Magnet School,0,0,0,0,3
2602735,19-May-23,Virginia,Fredericksburg,6320 Harrison Rd,Chancellor Middle School,0,0,0,0,1
2603051,19-May-23,Alabama,Harvest,2616 Jeff Rd NW,Sparkman High School,0,0,0,0,0
2602748,19-May-23,Arizona,Phoenix,3535 N 27th Ave,Bostrom High School,0,0,0,0,1
2602920,18-May-23,Florida,Saint Petersburg,850 34th St S,Gibbs High School,0,0,0,0,2
2608157,18-May-23,New York,Clarence,5150 Old Goodrich Rd,Ledgeview Elementary School,0,0,0,0,0
2602744,18-May-23,Virginia,Norfolk,730 Spotswood Ave,Blair Middle School,0,0,0,0,1
2601586,18-May-23,Maryland,Cheltenham,9400 Surratts Rd,Non-Traditional Program 9-12 South School,0,0,0,0,1
2602362,18-May-23,Illinois,Pleasant Hill,501 E Quincy St,Pleasant Hill CUSD #3,0,0,0,0,1
2603169,18-May-23,Georgia,Marietta,1171 Whitlock Ave NW,Marietta High School,0,0,0,0,1
2602538,17-May-23,Texas,El Paso,7000 Dyer St,Chapin High School,0,0,0,0,1
2601866,17-May-23,Illinois,El Paso,600 N Elm St,El Paso Gridley High School,0,0,0,0,0
2602624,17-May-23,California,San Jose,2001 Cottle Ave,Willow Glen High School,0,0,0,0,1
2602282,17-May-23,Nevada,North Las Vegas,3200 W Alexander Rd,Cheyenne High School,0,0,0,0,1
2600877,17-May-23,Louisiana,Shreveport,3201 Line Ave,C.E. Byrd High School,0,0,0,0,1
2600771,17-May-23,District of Columbia,Washington,4301 13th St NW,Roosevelt High School,1,0,0,0,0
2601213,16-May-23,Texas,Houston,9400 Irvington Blvd,Sam Houston High School,0,0,0,0,1
2601208,16-May-23,Texas,Corpus Christi,5225 Gollihar Rd,Richard King High School,0,0,0,0,2
2600273,16-May-23,Virginia,Glen Allen,9500 Norfolk St,Longdale Elementary School,0,0,0,0,0
2599890,16-May-23,Mississippi,New Augusta,9899 US-98 E,Perry Central High School,0,0,0,0,0
2600061,16-May-23,Nebraska,Omaha,5105 Bedford Ave,Monroe Middle School,0,0,0,0,1
2603652,16-May-23,New Jersey,Paterson,322 10th Ave,Paterson School No. 21,0,0,0,0,1
2601542,15-May-23,Indiana,Indianapolis,1635 W Michigan St,Indianapolis Metropolitan High School,0,0,0,0,2
2599399,15-May-23,Oklahoma,Oklahoma City,6708 S Santa Fe Ave,Webster Middle School,0,0,0,0,1
2596672,12-May-23,South Carolina,Bennettsville,301 Jefferson St,Bennettsville Primary School,0,0,0,0,0
2597548,12-May-23,Nebraska,Chadron,1000 Main St,Chadron State College,0,0,0,0,1
2598506,12-May-23,Georgia,Loganville,50 Hope Holw Rd,Grayson High School,0,0,0,0,2
